,0,1,2,3,4,5,6,7,8,9
16,-0.17604593932628632,-0.17604593932628632,-0.17604593932628632,-0.17604593932628632,-0.17604593932628632,-0.17604593932628632,-0.17604593932628632,-0.17604593932628632,-0.17604593932628632,-0.17604593932628632
17,-0.09681631624698639,-0.09681631624698639,-0.09681631624698639,-0.09681631624698639,-0.09681631624698639,-0.09681631624698639,-0.09681631624698639,-0.09681631624698639,-0.09681631624698639,-0.09681631624698639
18,-0.016967395320534706,-0.016967395320534706,-0.016967395320534706,-0.016967395320534706,-0.016967395320534706,-0.016967395320534706,-0.016967395320534706,-0.016967395320534706,-0.016967395320534706,-0.016967395320534706
19,0.023029755800962448,0.023029755800962448,0.023029755800962448,0.023029755800962448,0.023029755800962448,0.023029755800962448,0.023029755800962448,0.023029755800962448,0.023029755800962448,0.023029755800962448
20,0.10284959524869919,0.10284959524869919,0.10284959524869919,0.10284959524869919,0.10284959524869919,0.10284959524869919,0.10284959524869919,0.10284959524869919,0.10284959524869919,0.10284959524869919
21,0.14254459738731384,0.14254459738731384,0.14254459738731384,0.14254459738731384,0.14254459738731384,0.14254459738731384,0.14254459738731384,0.14254459738731384,0.14254459738731384,0.14254459738731384
22,0.22118733823299408,0.22118733823299408,0.22118733823299408,0.22118733823299408,0.22118733823299408,0.22118733823299408,0.22118733823299408,0.22118733823299408,0.22118733823299408,0.22118733823299408
23,0.2600092589855194,0.2600092589855194,0.2600092589855194,0.2600092589855194,0.2600092589855194,0.2600092589855194,0.2600092589855194,0.2600092589855194,0.2600092589855194,0.2600092589855194
24,0.33634379506111145,0.33634379506111145,0.33634379506111145,0.33634379506111145,0.33634379506111145,0.33634379506111145,0.33634379506111145,0.33634379506111145,0.33634379506111145,0.33634379506111145
25,0.3737342655658722,0.3737342655658722,0.3737342655658722,0.3737342655658722,0.3737342655658722,0.3737342655658722,0.3737342655658722,0.3737342655658722,0.3737342655658722,0.3737342655658722
26,0.4105268716812134,0.4105268716812134,0.4105268716812134,0.4105268716812134,0.4105268716812134,0.4105268716812134,0.4105268716812134,0.4105268716812134,0.4105268716812134,0.4105268716812134
27,0.4820839762687683,0.4820839762687683,0.4820839762687683,0.4820839762687683,0.4820839762687683,0.4820839762687683,0.4820839762687683,0.4820839762687683,0.4820839762687683,0.4820839762687683
28,0.5167340040206909,0.5167340040206909,0.5167340040206909,0.5167340040206909,0.5167340040206909,0.5167340040206909,0.5167340040206909,0.5167340040206909,0.5167340040206909,0.5167340040206909
29,0.5834999680519104,0.5834999680519104,0.5834999680519104,0.5834999680519104,0.5834999680519104,0.5834999680519104,0.5834999680519104,0.5834999680519104,0.5834999680519104,0.5834999680519104
30,0.6465335488319397,0.6465335488319397,0.6465335488319397,0.6465335488319397,0.6465335488319397,0.6465335488319397,0.6465335488319397,0.6465335488319397,0.6465335488319397,0.6465335488319397
31,0.6765236854553223,0.6765236854553223,0.6765236854553223,0.6765236854553223,0.6765236854553223,0.6765236854553223,0.6765236854553223,0.6765236854553223,0.6765236854553223,0.6765236854553223
32,0.7332108020782471,0.7332108020782471,0.7332108020782471,0.7332108020782471,0.7332108020782471,0.7332108020782471,0.7332108020782471,0.7332108020782471,0.7332108020782471,0.7332108020782471
33,0.7598171234130859,0.7598171234130859,0.7598171234130859,0.7598171234130859,0.7598171234130859,0.7598171234130859,0.7598171234130859,0.7598171234130859,0.7598171234130859,0.7598171234130859
34,0.8321823477745056,0.8321823477745056,0.8321823477745056,0.8321823477745056,0.8321823477745056,0.8321823477745056,0.8321823477745056,0.8321823477745056,0.8321823477745056,0.8321823477745056
35,0.8536908626556396,0.8536908626556396,0.8536908626556396,0.8536908626556396,0.8536908626556396,0.8536908626556396,0.8536908626556396,0.8536908626556396,0.8536908626556396,0.8536908626556396
36,0.8738336563110352,0.8738336563110352,0.8738336563110352,0.8738336563110352,0.8738336563110352,0.8738336563110352,0.8738336563110352,0.8738336563110352,0.8738336563110352,0.8738336563110352
37,0.9098953604698181,0.9098953604698181,0.9098953604698181,0.9098953604698181,0.9098953604698181,0.9098953604698181,0.9098953604698181,0.9098953604698181,0.9098953604698181,0.9098953604698181
38,0.9257566332817078,0.9257566332817078,0.9257566332817078,0.9257566332817078,0.9257566332817078,0.9257566332817078,0.9257566332817078,0.9257566332817078,0.9257566332817078,0.9257566332817078
39,0.9530131220817566,0.9530131220817566,0.9530131220817566,0.9530131220817566,0.9530131220817566,0.9530131220817566,0.9530131220817566,0.9530131220817566,0.9530131220817566,0.9530131220817566
40,0.964364767074585,0.964364767074585,0.964364767074585,0.964364767074585,0.964364767074585,0.964364767074585,0.964364767074585,0.964364767074585,0.964364767074585,0.964364767074585
41,0.9824239611625671,0.9824239611625671,0.9824239611625671,0.9824239611625671,0.9824239611625671,0.9824239611625671,0.9824239611625671,0.9824239611625671,0.9824239611625671,0.9824239611625671
42,0.9891026616096497,0.9891026616096497,0.9891026616096497,0.9891026616096497,0.9891026616096497,0.9891026616096497,0.9891026616096497,0.9891026616096497,0.9891026616096497,0.9891026616096497
43,0.9941990375518799,0.9941990375518799,0.9941990375518799,0.9941990375518799,0.9941990375518799,0.9941990375518799,0.9941990375518799,0.9941990375518799,0.9941990375518799,0.9941990375518799
44,0.9996145963668823,0.9996145963668823,0.9996145963668823,0.9996145963668823,0.9996145963668823,0.9996145963668823,0.9996145963668823,0.9996145963668823,0.9996145963668823,0.9996145963668823
45,0.9999251365661621,0.9999251365661621,0.9999251365661621,0.9999251365661621,0.9999251365661621,0.9999251365661621,0.9999251365661621,0.9999251365661621,0.9999251365661621,0.9999251365661621
46,0.995749294757843,0.995749294757843,0.995749294757843,0.995749294757843,0.995749294757843,0.995749294757843,0.995749294757843,0.995749294757843,0.995749294757843,0.995749294757843
47,0.9912696480751038,0.9912696480751038,0.9912696480751038,0.9912696480751038,0.9912696480751038,0.9912696480751038,0.9912696480751038,0.9912696480751038,0.9912696480751038,0.9912696480751038
48,0.9683569669723511,0.9683569669723511,0.9683569669723511,0.9683569669723511,0.9683569669723511,0.9683569669723511,0.9683569669723511,0.9683569669723511,0.9683569669723511,0.9683569669723511
49,0.9576022624969482,0.9576022624969482,0.9576022624969482,0.9576022624969482,0.9576022624969482,0.9576022624969482,0.9576022624969482,0.9576022624969482,0.9576022624969482,0.9576022624969482
50,0.9315166473388672,0.9315166473388672,0.9315166473388672,0.9315166473388672,0.9315166473388672,0.9315166473388672,0.9315166473388672,0.9315166473388672,0.9315166473388672,0.9315166473388672
51,0.9162274599075317,0.9162274599075317,0.9162274599075317,0.9162274599075317,0.9162274599075317,0.9162274599075317,0.9162274599075317,0.9162274599075317,0.9162274599075317,0.9162274599075317
52,0.8812785744667053,0.8812785744667053,0.8812785744667053,0.8812785744667053,0.8812785744667053,0.8812785744667053,0.8812785744667053,0.8812785744667053,0.8812785744667053,0.8812785744667053
53,0.8616747856140137,0.8616747856140137,0.8616747856140137,0.8616747856140137,0.8616747856140137,0.8616747856140137,0.8616747856140137,0.8616747856140137,0.8616747856140137,0.8616747856140137
54,0.8183653354644775,0.8183653354644775,0.8183653354644775,0.8183653354644775,0.8183653354644775,0.8183653354644775,0.8183653354644775,0.8183653354644775,0.8183653354644775,0.8183653354644775
55,0.7947289347648621,0.7947289347648621,0.7947289347648621,0.7947289347648621,0.7947289347648621,0.7947289347648621,0.7947289347648621,0.7947289347648621,0.7947289347648621,0.7947289347648621
56,0.743681788444519,0.743681788444519,0.743681788444519,0.743681788444519,0.743681788444519,0.743681788444519,0.743681788444519,0.743681788444519,0.743681788444519,0.743681788444519
57,0.7163527011871338,0.7163527011871338,0.7163527011871338,0.7163527011871338,0.7163527011871338,0.7163527011871338,0.7163527011871338,0.7163527011871338,0.7163527011871338,0.7163527011871338
58,0.6583020091056824,0.6583020091056824,0.6583020091056824,0.6583020091056824,0.6583020091056824,0.6583020091056824,0.6583020091056824,0.6583020091056824,0.6583020091056824,0.6583020091056824
59,0.627673327922821,0.627673327922821,0.627673327922821,0.627673327922821,0.627673327922821,0.627673327922821,0.627673327922821,0.627673327922821,0.627673327922821,0.627673327922821
60,0.5634540915489197,0.5634540915489197,0.5634540915489197,0.5634540915489197,0.5634540915489197,0.5634540915489197,0.5634540915489197,0.5634540915489197,0.5634540915489197,0.5634540915489197
61,0.5299663543701172,0.5299663543701172,0.5299663543701172,0.5299663543701172,0.5299663543701172,0.5299663543701172,0.5299663543701172,0.5299663543701172,0.5299663543701172,0.5299663543701172
